Area Name,mid-year estimate 1939,mid-year estimate 1988,Census 2011,Projection 2015,Projection 2021,Projection 2031,Projection 2039
City of London,9000,6200,7375,8101,9559,10843,11623
Barking and Dagenham,184000,156600,185911,205434,224332,250460,271193
Barnet,296000,289500,356386,393215,415066,448240,469008
Bexley,179000,217700,231997,237012,243193,253741,258484
Brent,310000,246400,311215,326338,348633,374688,381645
Bromley,237000,295200,309392,320083,328780,342514,350868
Camden,301000,179000,220338,230283,241602,257415,266825
Croydon,297000,313900,363378,381170,401285,425967,441933
Ealing,285000,291300,338449,349333,368654,392043,405978
Enfield,272000,256500,312466,322135,334681,350677,360430
Greenwich,243000,210100,254557,281560,315207,347102,350140
Hackney,332000,184600,246270,262683,283974,306726,322596
Hammersmith and Fulham,259000,151200,182493,189870,204670,220479,231328
Haringey,292000,199600,254926,269121,284690,301711,313521
Harrow,190000,203300,239056,247507,257294,271334,281645
Havering,139000,236000,237232,250342,266313,283472,291279
Hillingdon,159000,232100,273936,289498,298959,310859,316037
Hounslow,196000,192900,253957,263591,276903,296366,306665
Islington,343000,165300,206125,220784,236759,252729,265730
Kensington and Chelsea,228000,134700,158649,161713,167819,179137,182845
Kingston upon Thames,129000,132000,160060,167216,176427,187811,196042
Lambeth,391000,248900,303086,320432,338539,360128,388848
Lewisham,325000,237600,275885,293064,312092,333536,347453
Merton,197000,167800,199693,206210,212541,221801,227666
Newham,381000,208700,307984,337980,371208,419850,429440
Redbridge,232000,218600,278970,292460,311743,337031,348925
Richmond upon Thames,178000,159900,186990,191609,195971,202698,207347
Southwark,456000,219000,288283,308668,341588,367723,379023
Sutton,167000,169700,190146,196414,201576,209624,214706
Tower Hamlets,419000,158700,254096,284324,332237,373074,385061
Waltham Forest,286000,213100,258249,271425,284059,304515,318700
Wandsworth,358000,261100,306995,322743,348150,379247,392296
Westminster,347000,172400,219396,230539,243577,255945,267526
Inner London,4441000,2526700,3231901,3440311,3716473,4018549,4184120
Outer London,4176000,4202600,4942040,5192562,5461626,5810952,5998699
Greater London,8615000,6729300,8173941,8632873,9178100,9829502,10182820
