Area Name,mid-year estimate 1939,mid-year estimate 1988,Census 2011,Projection 2015,Projection 2021,Projection 2031,Projection 2039,"Growth
1939-2015","Growth
2014-2015"
City of London,9000,6200,7375,8101,9559,10843,11623,-0.8982237575700207,0.21149699999999938
Barking and Dagenham,184000,156600,185911,205434,224332,250460,271193,21.434874098639,3.9491929999999993
Barnet,296000,289500,356386,393215,415066,448240,469008,97.2150927655087,5.960879999999946
Bexley,179000,217700,231997,237012,243193,253741,258484,58.01231875717198,2.239582999999984
Brent,310000,246400,311215,326338,348633,374688,381645,16.338838700748965,2.624402999999991
Bromley,237000,295200,309392,320083,328780,342514,350868,83.08339484889166,3.4841560000000174
Camden,301000,179000,220338,230283,241602,257415,266825,-70.7167518408479,3.0692069999999947
Croydon,297000,313900,363378,381170,401285,425967,441933,84.17069338073571,4.103459999999963
Ealing,285000,291300,338449,349333,368654,392043,405978,64.33327570758524,3.5073979999999865
Enfield,272000,256500,312466,322135,334681,350677,360430,50.13573947072979,4.741242000000027
Greenwich,243000,210100,254557,281560,315207,347102,350140,38.56049567025809,3.0116909999999915
Hackney,332000,184600,246270,262683,283974,306726,322596,-69.31676191011883,3.5085620000000053
Hammersmith and Fulham,259000,151200,182493,189870,204670,220479,231328,-69.12937305553484,0.24186900000000605
Haringey,292000,199600,254926,269121,284690,301711,313521,-22.878056464177973,3.506275000000023
Harrow,190000,203300,239056,247507,257294,271334,281645,57.50750037446119,2.8817049999999873
Havering,139000,236000,237232,250342,266313,283472,291279,111.34208584895961,2.5676510000000126
Hillingdon,159000,232100,273936,289498,298959,310859,316037,130.49887020151073,4.609277999999991
Hounslow,196000,192900,253957,263591,276903,296366,306665,67.59143371351917,4.245724999999977
Islington,343000,165300,206125,220784,236759,252729,265730,-122.21578481127784,3.9334339999999792
Kensington and Chelsea,228000,134700,158649,161713,167819,179137,182845,-66.28632290714239,-0.008050000000017462
Kingston upon Thames,129000,132000,160060,167216,176427,187811,196042,38.216781733247615,2.8199259999999775
Lambeth,391000,248900,303086,320432,338539,360128,388848,-70.56763645763652,3.589793000000005
Lewisham,325000,237600,275885,293064,312092,333536,347453,-31.93581714397868,4.152855999999971
Merton,197000,167800,199693,206210,212541,221801,227666,9.210747977837968,2.733725000000006
Newham,381000,208700,307984,337980,371208,419850,429440,-43.019408815391614,5.225176999999967
Redbridge,232000,218600,278970,292460,311743,337031,348925,60.460341714265155,5.37949099999998
Richmond upon Thames,178000,159900,186990,191609,195971,202698,207347,13.609678181962664,2.4708610000000046
Southwark,456000,219000,288283,308668,341588,367723,379023,-147.33164894441074,4.196781000000017
Sutton,167000,169700,190146,196414,201576,209624,214706,29.414176781945287,2.7163090000000083
Tower Hamlets,419000,158700,254096,284324,332237,373074,385061,-134.6756054713377,6.311453999999968
Waltham Forest,286000,213100,258249,271425,284059,304515,318700,-14.574007924695366,3.2141900000000025
Wandsworth,358000,261100,306995,322743,348150,379247,392296,-35.25689857294901,2.977195000000007
Westminster,347000,172400,219396,230539,243577,255945,267526,-116.46060088850408,2.7548340000000024
Inner London,4441000,2526700,3231901,3440311,3716473,4018549,4184120,-1000.6888910408784,43.67088399999993
Outer London,4176000,4202600,4942040,5192562,5461626,5810952,5998699,1016.5623320032846,67.26086699999985
Greater London,8615000,6729300,8173941,8632873,9178100,9829502,10182820,17.873440962403038,110.93175099999979
